Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
36548277,4,4,613.0,19.0,613,0,153.25,306.5,19,0,4.75,9.5,17.29219684,0.218888568,5221182.429,11500000.0,31000000.0,2258.0,36400000.0,12100000.0,16600000.0,31000000.0,15492.0,5510257.0,1836752.333,2978148.19,5275598.0,106284.0,0,128,144,0.109444284,0.109444284,0,613,70.22222222,203.6386369,41468.69444,0,1,0,0,0,1,79.0,153.25,4.75,4,613,4,19,505,1,234659.0,0.0,234659.0,234659.0,5275598.0,0.0,5275598.0,5275598.0,IPCam_V380
119691489,5127,6886,6464.0,5653486.0,16,0,1.260776282,4.311205041,1448,0,821.0116178,565.0435924,47287.82345,100.3663677,9964.326424,29669.56536,1199528.0,17.0,120000000.0,23349.49551,50302.95595,1220481.0,25.0,120000000.0,17382.52651,41050.68873,1265763.0,17.0,1,174140,220376,42.8351259,57.53124184,0,1448,471.2333944,589.4647441,347468.6846,0,0,0,1,1,1,471.2726213,1.260776282,821.0116178,5127,6464,6886,5653486,62864,404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_V380
119986741,4375,2445,5026830.0,48.0,1448,1,1148.989714,466.8601266,16,0,0.019631902,0.560226189,41895.27908,56.83961364,17595.94383,25641.59416,270238.0,28.0,120000000.0,27430.92981,31888.79831,306861.0,28.0,120000000.0,49093.11784,45380.55505,314191.0,35.0,0,140000,78936,36.46236212,20.37725152,0,1448,736.9708254,665.9353056,443469.8313,0,0,0,0,1,0,737.0788856,1148.989714,0.019631902,4375,5026830,2445,48,64000,4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_V380
119999685,40,41,640.0,16.0,16,16,16.0,0.0,16,0,0.390243902,2.49878019,5.466681017,0.675001772,1499996.063,1298724.611,2810484.0,201854.0,117000000.0,2999608.923,8188.703767,3018995.0,2977716.0,117000000.0,2930440.375,440163.9444,3015854.0,216873.0,1,1280,1312,0.333334208,0.341667564,0,16,8.195121951,8.046836698,64.75158085,0,0,0,1,1,1,8.296296296,16.0,0.390243902,40,640,41,16,62992,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_V380
112908985,11,5,312.0,80.0,84,16,28.36363636,27.50735439,16,16,16.0,0.0,3.471822902,0.141707057,7527265.667,4686688.652,10300000.0,18586.0,103000000.0,10300000.0,46097.63231,10400000.0,10200000.0,103000000.0,25600000.0,10200000.0,30800000.0,10300000.0,0,88,40,0.097423602,0.044283455,16,84,24.0,22.58317958,510.0,0,0,0,0,0,0,25.5,28.36363636,16.0,11,312,5,80,-1,11,18969.0,420.8333003,19455.0,18586.0,10300000.0,36512.13199,10300000.0,10200000.0,IPCam_V380
119264678,3,6,208.0,240.0,168,0,69.33333333,87.75724092,168,0,40.0,65.13984955,3.756351063,0.07546241,14900000.0,28200000.0,74700000.0,77.0,76300000.0,38100000.0,51800000.0,74700000.0,1519204.0,119000000.0,23900000.0,34000000.0,75200000.0,77.0,1,72,120,0.025154137,0.050308273,0,168,61.6,75.21701935,5657.6,0,0,0,1,1,2,68.44444444,69.33333333,40.0,3,208,6,240,10,2,989290.0,749411.5657,1519204.0,459376.0,58400000.0,23100000.0,74700000.0,42100000.0,IPCam_V380
339764,7,4,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,32.37541352,33976.4,86158.99239,276645.0,21.0,281781.0,46963.5,112521.4398,276645.0,345.0,339764.0,113254.6667,196082.2982,339671.0,21.0,0,224,128,20.60253588,11.77287764,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,7,0,4,0,393,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_V380
15111,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,132.3539144,15111.0,0.0,15111.0,15111.0,0.0,0.0,0.0,0.0,0.0,15111.0,15111.0,0.0,15111.0,15111.0,0,0,64,0.0,132.3539144,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0,0,2,0,393,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_V380
119962657,5112,7493,6016.0,5781974.0,32,0,1.176838811,4.200980444,1448,0,771.6500734,566.5799485,48248.26446,105.0743649,9517.824262,20822.5185,688986.0,14.0,120000000.0,23470.16905,33016.08464,693700.0,23.0,120000000.0,16011.64122,28760.36984,690425.0,15.0,1,163824,239808,42.61326089,62.46110404,0,1448,459.1862605,577.8571586,333918.8957,0,0,0,1,1,1,459.2226894,1.176838811,771.6500734,5112,6016,7493,5781974,62704,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_V380
119974981,4449,2481,5103647.0,1448.0,1448,1,1147.144752,470.6151155,1448,0,0.583635631,29.07067927,42551.32993,57.7620429,17314.90561,26111.06096,660053.0,28.0,120000000.0,26966.15198,31934.8722,660053.0,28.0,120000000.0,48375.00363,48198.55882,1020330.0,60.0,0,142368,80304,37.08273144,20.67931146,0,1448,736.768576,666.8410615,444677.0013,0,0,0,0,1,0,736.8748918,1147.144752,0.583635631,4449,5103647,2481,1448,64000,4449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_V380
119808734,40,40,640.0,0.0,16,16,16.0,0.0,0,0,0.0,0.0,5.341847615,0.667730952,1516566.253,1295698.617,2814099.0,201840.0,117000000.0,3000093.692,7331.602852,3020486.0,2982766.0,117000000.0,3000538.821,10446.94493,3031981.0,2984278.0,0,1280,1280,0.333865476,0.333865476,0,16,7.901234568,8.049231234,64.79012346,0,0,0,0,1,1,8.0,16.0,0.0,40,640,40,0,63808,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_V380
4633,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,431.6857328,4633.0,0.0,4633.0,4633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,215.8428664,215.8428664,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,1,0,1,0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_V380
112814692,11,5,312.0,80.0,84,16,28.36363636,27.50735439,16,16,16.0,0.0,3.474724728,0.141825499,7520979.467,4682800.826,10300000.0,14639.0,103000000.0,10300000.0,57600.89093,10400000.0,10200000.0,103000000.0,25600000.0,10200000.0,30800000.0,10300000.0,0,88,40,0.097505031,0.044320468,16,84,24.0,22.58317958,510.0,0,0,0,0,0,0,25.5,28.36363636,16.0,11,312,5,80,-1,11,19019.0,3538.78708,23303.0,14639.0,10200000.0,46997.78341,10300000.0,10200000.0,IPCam_V380
119983406,5,6,208.0,276.0,168,0,41.6,72.75163228,168,0,46.0,62.31532717,4.033891153,0.091679344,12000000.0,28200000.0,88300000.0,93.0,31200000.0,7800473.25,13800000.0,28500000.0,464859.0,91400000.0,18300000.0,39400000.0,88800000.0,93.0,1,124,120,0.041672429,0.050006915,0,168,54.33333333,70.53990919,4975.878788,0,0,0,1,1,1,59.27272727,41.6,46.0,5,208,6,276,10,2,1561064.0,1550876.09,2657699.0,464429.0,58400000.0,42300000.0,88300000.0,28500000.0,IPCam_V380
